semester,course_code,enrolled,finished,approved,failed,withdrawn,pass_rate_enrolled,pass_rate_finished,mean_final_grade,source_type,confidence,notes
2015-II,750095M,48,33,27,6,15,56.2,81.8,3.95,instructor_consolidado,high,"enrolled from InformeActividades (inicio 48, termino 34); 2015 paro disrupted term; withdrawn inferred enrolled-finished"
2016-II,750095M,25,25,24,1,0,96.0,96.0,3.78,instructor_consolidado,high,"single marginal fail (2.96); no roster of cancellations"
2017-I,750095M,25,20,11,9,5,44.0,55.0,2.85,roster+consolidado,high,"rough cohort; instructor acta narrative claims 16 approved (post-acta/softer criterion); >=3.0 rule gives 11"
2018-I,750095M,32,32,25,7,0,78.1,78.1,3.31,instructor_consolidado,high,""
2018-II,750095M,32,32,23,9,0,71.9,71.9,3.39,instructor_consolidado,high,""
2019-I,750095M,29,28,20,8,1,69.0,71.4,3.38,instructor_consolidado,high,"Mayo-Septiembre 2019 calendar"
2019-II,750095M,38,35,17,18,3,44.7,48.6,2.37,roster+consolidado,high,"PRE-INTERVENTION DIAGNOSTIC LOW; Oct2019-Feb2020; thesis cites this cohort as 48 enrolled/45.83% approved (different denominator); roster=38; pass rate ~45% matches thesis headline"
2020-I,750095M,28,28,27,1,0,96.4,96.4,3.94,instructor_consolidado,high,"first full COVID-online (emergency remote)"
2020-II,750095M,55,48,43,5,7,78.2,89.6,3.73,instructor_consolidado,medium,"FLIPPED-CLASSROOM INTERVENTION; enrolled=55 from thesis (no local roster); raw >=3.0: 43 approved/5 failed; thesis official acta (post-habilitacion): 85.47% approved/1.81% failed/12.72% withdrew"
2021-II,750095M,51,43,37,6,8,72.5,86.0,3.50,roster+consolidado,high,"CORRECTED: SRA roster has 43 numbered + 8 un-numbered cancelled students -> enrolled=51, withdrawn=8"
2022-I,750095M,35,35,35,0,0,100.0,100.0,4.17,instructor_consolidado,high,"Feb-Jun 2022; NOT in the institutional evaluation series (no eval issued)"
2022-II,750095M,38,38,30,8,0,79.0,79.0,3.43,instructor_consolidado,high,""
2023-I,750095M,45,45,39,6,0,86.7,86.7,3.68,SIRA_export,high,"final = Total del curso (Real)"
2024-I,750017C,66,66,62,4,0,93.9,93.9,3.68,SIRA_export,high,"recovered from Filen (/Flp); final = Total del curso (Real); 3 near-zero abandoners + 1 marginal (2.2); eval matriculados=56 (undercount)"
2024-II,750017C,30,30,30,0,0,100.0,100.0,4.18,SIRA_export,high,"final = Total del curso (Real)"
2025-I,750017C,31,31,29,2,0,93.5,93.5,3.87,SIRA_export,high,"recovered from Filen (/Flp); final = Total del curso (Real); 2 marginal fails (2.8, 2.4), no near-zero; eval matriculados=30"
2025-II,750017C,47,47,45,2,0,95.7,95.7,3.60,SIRA_export,high,"final = Total del curso (Real)"
2026-I,750017C,75,75,74,1,0,98.7,98.7,3.88,SIRA_export,high,"TWO GROUPS: G50 38/38 approved (100%, mean 3.93) + G51 37 finished/36 approved (97.3%, mean 3.82); current semester; course renamed Interpretacion y Compilacion"
